,AAPL US Equity,AAPL US Equity,AAPL US Equity,AAPL US Equity,AAPL US Equity,NFLX US Equity,NFLX US Equity,NFLX US Equity,NFLX US Equity,NFLX US Equity,AMD US Equity,AMD US Equity,AMD US Equity,AMD US Equity,AMD US Equity,GE US Equity,GE US Equity,GE US Equity,GE US Equity,GE US Equity,OXY US Equity,OXY US Equity,OXY US Equity,OXY US Equity,OXY US Equity
,CLOSE,HIGH,LOW,OPEN,VOLUME,CLOSE,HIGH,LOW,OPEN,VOLUME,CLOSE,HIGH,LOW,OPEN,VOLUME,CLOSE,HIGH,LOW,OPEN,VOLUME,CLOSE,HIGH,LOW,OPEN,VOLUME
2010-02-10,6.9746358825,7.021064407500001,6.937850205,6.9935644350000015,118839146.83914682,8.78427693,8.914276800000003,8.722848420000002,8.862848280000003,2066871.0668710668,7.64,7.71,7.45,7.45,3132100.0,120.65622552,121.96352688,119.195124,119.73342456,1750825.0,75.19321175359967,75.6920058614179,73.95581867843521,75.33709466931649,1708200.0
2010-02-11,7.0953500475,7.1339214375000015,6.9310644975,6.9567787575,202712110.7121107,9.05141952,9.06999093,8.729991270000001,8.744276970000001,2857465.8574658567,7.84,7.9,7.6,7.68,2560500.0,121.27142616,121.34832624,119.04132384,120.11792496,1904812.5,77.17879599049151,77.23634915677823,74.57931131320802,75.31791028055424,2419300.0
2010-02-12,7.1564214150000005,7.20142137,7.028564400000001,7.0774929225,201940961.940962,9.02570526,9.02570526,8.86856256,8.99284815,3753088.753088752,7.87,8.0,7.66,7.7,3453800.0,119.5796244,119.81032464,118.04162279999998,119.65652448,2687575.0,76.5457111613376,76.6416331051488,75.09728980978848,76.01814047037601,2444500.0
2010-02-16,7.264992735,7.2746355825,7.198207087500001,7.2210642075,172557060.55706054,9.26570502,9.285705,9.07999092,9.08856234,4293790.293790294,8.06,8.14,7.87,7.98,2808200.0,123.34772832,123.96292896,120.65622552,120.88692576,2403250.0,77.86943398593216,78.1284232342224,76.62244871638657,77.76391984773983,2543500.0
2010-02-17,7.233921337500001,7.2967784175000014,7.173564255000001,7.294635562500001,139272811.27281126,9.215705070000002,9.25570503,9.064276650000002,9.25570503,3461825.461825462,8.03,8.19,7.94,8.11,1790400.0,124.19362920000002,124.73192976,123.50152848,124.57812959999998,1678700.0,77.63922132078527,78.11883103984128,76.60326432762432,78.00372470726785,1448800.0
2010-02-18,7.250707035000001,7.281421290000001,7.1760642525000025,7.2010642275000025,128559692.55969256,9.441419130000002,9.46713339,9.12713373,9.12999087,3371630.371630372,7.95,8.08,7.87,7.97,1969000.0,124.88572992,125.27023032,123.65532863999998,123.8091288,1361850.0,77.68718229269088,77.86943398593216,76.53611896695652,77.24594135115936,1253200.0
2010-02-19,7.2024927975,7.2567784575,7.182492817500001,7.208921362500001,147609147.60914758,9.521419050000002,9.58141899,9.3714192,9.40713345,3936698.936698936,7.93,7.99,7.83,7.89,1844300.0,124.34742936,124.96263,123.040128,124.03982904,2480762.5,78.18597640050913,78.65599392518398,77.29390232306496,77.58166815449854,1726700.0
2010-02-22,7.15856427,7.2321356250000015,7.113921457500001,7.229992770000001,117407533.4075334,9.32427639,9.60999039,9.115705170000002,9.577133280000002,12970459.97045997,7.9,8.0,7.83,7.95,1655700.0,124.96263,125.65473072,124.27052928,124.65502968,1364387.5,76.74714724334112,78.65599392518398,76.58407993886209,78.61762514765951,1509800.0
2010-02-23,7.037492962500001,7.190349952500001,6.989993010000001,7.1396357175,157835681.83568183,9.19284795,9.318562110000002,9.167133690000002,9.26570502,5573027.5730275735,7.79,7.94,7.69,7.94,2759200.0,122.6556276,125.50093056,121.96352688,124.42432944,1857475.0,75.78792780522912,77.14042721296704,75.67282147265568,76.75673943772223,1754400.0
2010-02-24,7.162492837500001,7.19427852,7.065707220000001,7.089278625,147954919.95491993,9.24141933,9.33999066,9.167133690000002,9.202847940000002,4921368.921368921,8.05,8.1,7.79,7.79,2361400.0,123.96292896,124.11672912,122.11732704,123.040128,2037425.0,76.3059063018096,76.68959407705441,75.56730733446335,76.38264385685855,1317900.0
2010-02-25,7.2146356425,7.244992755000001,7.0317786825,7.049278665,205728413.7284137,9.37284777,9.37284777,9.014276700000002,9.14141943,5368760.368760368,7.89,7.89,7.62,7.85,3606600.0,122.42492736,122.6556276,120.81002568,121.117626,1928275.0,75.80711219399136,75.80711219399136,73.91744990091073,74.44502059187231,1631100.0
2010-02-26,7.307849835000002,7.32713553,7.214278500000002,7.2303499125,154388458.38845837,9.43570485,9.54570474,9.3285621,9.37999062,4233625.233625233,7.91,7.95,7.68,7.81,3465600.0,123.50152848,124.11672912,122.6556276,123.040128,2061712.5,76.5936721332432,76.83347699277121,75.47138539065217,76.28672191304736,1780700.0
2010-03-01,7.463921107500001,7.482135375,7.3428498000000015,7.3482069375,182310422.3104223,9.9571329,9.96284718,9.43141914,9.43141914,5714637.7146377135,8.21,8.25,7.95,7.96,2118100.0,122.2711272,124.19362920000002,121.73282664,123.73222872,1582487.5,77.456969627544,77.81188081964544,76.87184577029569,77.28431012868384,1249500.0
2010-03-02,7.4589211125000014,7.529635327500001,7.419278295000002,7.498921072500001,156131796.13179612,9.85427586,9.99999,9.83284731,9.99856143,4481551.481551481,8.38,8.6,8.31,8.32,4029700.0,122.2711272,122.6556276,121.80972672,122.2711272,1776237.5,77.8886183746944,78.52170320384832,77.60085254326081,77.91739495783776,1454100.0
2010-03-03,7.476063952500001,7.495349647500001,7.4267782875,7.469992530000002,113933513.93351392,9.64999035,9.76856166,9.39284775,9.428562,7311031.311031311,8.35,8.55,8.28,8.42,2412500.0,123.27082824,125.27023032,122.6556276,122.96322792,2172412.5,77.72555107021536,78.72313928585184,77.54329937697409,78.20516078927136,1451300.0
2010-03-04,7.525349617500001,7.53284961,7.45142112,7.4782068075,108529732.52973253,9.715704570000002,9.79570449,9.59427612,9.5999904,2820610.820610821,8.5,8.5,8.28,8.36,2675500.0,123.88602888,124.19362920000002,122.80942776,123.50152848,1205425.0,77.9365793466,78.51211100946719,77.53370718259295,77.87902618031328,1371500.0
2010-03-05,7.8214207500000015,7.8464207250000015,7.6653494775,7.67856375,287657811.65781164,9.664276050000002,9.80856162,9.57570471,9.749990250000002,3647906.647906648,8.61,8.7,8.48,8.56,2283300.0,125.7316308,125.88543096,124.19362920000002,124.42432944,1652637.5,78.59844075889728,78.88620659033087,78.02290909603008,78.69436270270849,1086900.0
2010-03-08,7.824277890000001,7.8574921425,7.794992205000002,7.857135,138514514.5145145,9.811418760000002,9.82284732,9.68856174,9.711418860000002,2694568.6945686946,8.64,8.69,8.51,8.66,2206100.0,125.11643016,126.65443175999998,124.88572992,126.11613119999998,1497600.0,78.16679201174688,78.73273148023296,77.72555107021536,78.19556859489023,928200.0
2010-03-09,7.964992035000002,8.03570625,7.7817779325,7.7910636375000015,236077868.07786804,9.99141858,10.191418380000002,9.74427597,9.749990250000002,5486395.486395487,8.63,8.69,8.44,8.49,4760600.0,126.80823191999998,127.80793296,124.96263,125.03953008,2009937.5,78.16679201174688,79.01090511728545,77.53370718259295,77.65840570954752,1046400.0
2010-03-10,8.029991970000001,8.05284909,7.971777742500001,7.989634867500001,157870597.87059787,10.18284696,10.219989780000002,10.02998997,10.03856139,3444773.4447734444,8.92,9.09,8.6,8.61,3038900.0,126.96203208,127.73103288,126.26993136000002,126.80823191999998,1680175.0,78.62721734204064,78.86702220156864,77.68718229269088,78.01331690164895,1213700.0
2010-03-11,8.053563375000001,8.053563375000001,7.976777737500001,7.994992005000001,116544432.54443254,10.16998983,10.22570406,10.06284708,10.157132699999998,3450415.45041545,8.95,9.0,8.75,8.88,2057600.0,126.73133184,127.2696324,125.50093056,126.885132,1395887.5,78.52170320384832,79.08764267233441,78.13801542860351,78.23393737241473,1075100.0
2010-03-12,8.09284905,8.1332061525,8.0624919375,8.1089204625,118490854.49085449,9.99713286,10.039989960000002,9.90284724,10.021418550000002,3845957.845957845,8.93,9.03,8.9,9.03,2171600.0,131.03773632,131.19153648,126.885132,127.50033263999998,3200825.0,78.50251881508608,79.0013129229043,78.10923884546018,78.96294414537981,1601600.0
2010-03-15,7.99427772,8.053563375000001,7.867849275000001,8.053563375000001,146598206.59820658,9.9428472,9.99713286,9.88141869,9.99713286,2990682.9906829908,8.92,8.95,8.8,8.88,1779200.0,132.96023832,133.4216388,130.26873552,130.96083624,3244437.5,77.7543276533587,78.31067492746368,76.90062235343905,78.29149053870145,1442400.0
2010-03-16,8.019634837500002,8.034634822500001,7.948206337500001,8.006420565,116944888.94488892,10.08998991,10.12141845,9.93570435,9.93570435,3350014.35001435,9.4,9.42,8.94,8.96,3359400.0,138.95844456,139.65054528,134.1906396,134.42133984,6465575.0,79.01090511728545,79.08764267233441,77.62962912640417,78.06127787355456,1698300.0
2010-03-17,8.00427771,8.0874919125,7.973920597500001,8.0282062575,117511217.5112175,10.13141844,10.23427548,10.05856137,10.1285613,1692685.6926856926,9.67,9.74,9.43,9.45,2893600.0,138.72774432,141.4961472,138.18944376,141.11164680000005,3755875.0,79.8166494452995,80.30585135873666,79.25070997681344,79.375408503768,1673600.0
2010-03-18,8.026777687500001,8.035349107500002,7.950706335,7.9974920025,111700203.70020369,10.07713278,10.158561270000002,10.06284708,10.10141847,1499394.499394499,9.39,9.61,9.26,9.61,2144900.0,139.88124552,140.41954608,137.72804328,139.03534463999998,2138850.0,79.14519583862112,79.89338700034848,78.20516078927136,79.50010703072256,1291400.0
2010-03-19,7.939277775000001,8.042134815,7.9010635275,8.04142053,272547428.54742855,10.0857042,10.12713273,10.01141856,10.0999899,4710241.71024171,9.11,9.41,9.11,9.4,3258600.0,138.95844456,141.03474672,137.88184343999998,141.03474672,4823412.5,79.21234119928894,79.65358214082049,78.50251881508608,79.65358214082049,2853100.0
2010-03-22,8.0310633975,8.0714205,7.862492137500001,7.874992125,160162372.16237214,10.41284673,10.42713243,10.00998999,10.04998995,2664405.664405664,9.31,9.32,8.8,8.83,2134400.0,138.95844456,139.41984503999998,136.88214240000002,137.2666428,1753325.0,79.20274900490783,79.46173825319808,77.94617154098113,78.17638420612799,1129900.0
2010-03-23,8.1571347,8.170706115000002,8.003563425000001,8.059277655,173928165.9281659,10.42284672,10.49856093,10.28998971,10.428561,2575540.575540575,9.45,9.48,9.27,9.35,1644700.0,140.95784664,141.8806476,139.5736452,139.65054528,2726312.5,79.92216358349184,80.05645430482753,78.59844075889728,79.13560364423999,1621100.0
2010-03-24,8.1917775225,8.22142035,8.125706160000002,8.13713472,159198723.1987232,10.33856109,10.45284669,10.32427539,10.41856101,1127869.1278691278,9.23,9.37,9.21,9.33,1830900.0,141.8806476,145.57185144,140.49644616,141.11164680000005,2720250.0,79.56725239139041,80.12359966549536,79.06845828357217,79.4137772812925,1627900.0
2010-03-25,8.0946347625,8.2474917525,8.0803490625,8.2474917525,165360017.36001736,10.50570378,10.70856072,10.3714182,10.38284676,3243502.243502244,9.03,9.43,9.02,9.34,2096000.0,140.7271464,144.26455008000005,140.41954608,143.80314959999995,1885412.5,78.18597640050913,80.52647182950241,78.09005445669794,80.28666696997439,2081000.0
2010-03-26,8.246420325,8.2839202875,8.162491837500001,8.177848965,182078862.07886207,10.6142751,10.70141787,10.47856095,10.50427521,1900529.9005299003,9.02,9.19,8.91,9.1,1714000.0,141.03474672,143.26484904,139.80434544,140.88094655999996,1549175.0,78.39700467689377,78.63680953642177,77.85024959716992,78.58884856451616,1715400.0
